Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
680.63;1;2,0438223;0.34293141;1343.2;657.2;0,10325641;0,025029758;38,727115;27,264784;994,96264;20,2933
686.31;1;2,2269549;0.38022065;1401.2;629.2;0,10874044;0,023156436;35,168766;26,353867;1000,6386;20,3066
691.98;1;2,0599506;0.34639467;1333.2;647.2;0,088560672;0,020594712;30,501078;23,557321;1006,3111;20,3066
697.66;1;1,8685843;0.30279198;1325.2;709.2;0,070930758;0,019417799;31,425769;21,021292;1011,9894;20,3
703.34;1;2,0248815;0.33881708;1367.2;675.2;0,079475035;0,019748748;31,642743;21,403394;1017,6726;20,3
709.02;1;2,2275449;0.38033395;1339.2;601.2;0,1308701;0,024185127;29,105977;32,815272;1023,3546;20,3
714.68;1;2,1607143;0.36723164;1355.2;627.2;0,080097215;0,017490539;25,694562;19,978936;1029,0192;20,3
720.37;1;1,9594756;0.32420459;1315.2;671.2;0,088296814;0,022617716;35,111851;24,365636;1034,7058;20,3133
726.14;1;2,3362358;0.40052198;1395.2;597.2;0,084322863;0,016654348;24,348349;18,867962;1040,4724;20,3166
731.92;1;2,1153359;0.35801465;1335.2;631.2;0,11540355;0,0227904;27,667195;31,854934;1046,252;20,3166
737.62;1;1,9098639;0.31268264;1347.6;705.6;0,078842334;0,020275865;31,719162;23,929722;1051,9554;20,31
746.35;1;2,0912815;0.35301912;1429.6;683.6;0,094011531;0,018896648;24,776899;28,354894;1060,6847;20,32
752;1;2,2268961;0.38020936;1397.6;627.6;0,08650862;0,016408895;21,540659;22,379502;1066,3373;20,32
757.67;1;2,012735;0.33615137;1327.6;659.6;0,07610936;0,021664417;37,216295;16,73949;1072,0041;20,3233
763.36;1;2,0186298;0.33744774;1343.6;665.6;0,062915438;0,014816169;22;17,651599;1077,6964;20,3266
769.02;1;2,1082964;0.35656072;1331.6;631.6;0,08915364;0,019760132;28,325179;23,083373;1083,3475;20,3266
774.7;1;2,0648715;0.34744409;1349.6;653.6;0,085195114;0,01933773;28,269381;23,23337;1089,0312;20,33
780.49;1;2,2268961;0.38020936;1397.6;627.6;0,1018522;0,020021291;27,697615;25,870121;1094,822;20,33
786.16;1;1,8828475;0.30624149;1343.6;713.6;0,071045069;0,018430584;28,650342;22,214268;1100,4928;20,33
791.92;1;2,153601;0.36580437;1351.6;627.6;0,091771902;0,02184314;34,491799;21,418143;1106,2544;20,33
819.51;1;2,9798416;0.49746744;1655.6;555.6;0,150778;0,021728779;34,564966;25,608387;1133,8362;20,34
825.2;1;3,1800595;0.52153791;1709.6;537.6;0,14488038;0,020363795;34,077311;22,02391;1139,5281;20,34
830.96;1;3,2146119;0.52546046;1689.6;525.6;0,15825466;0,019458599;29,50825;24,192213;1145,2887;20,34
836.64;1;3,1336858;0.51617029;1659.6;529.6;0,16037061;0,022900523;37,306695;24,348349;1150,9754;20,3533
842.31;1;3,4588138;0.55145021;1679.6;485.6;0,20657365;0,021195134;29,058924;27,758356;1156,6398;20,3533
847.99;1;3,2713057;0.53175911;1673.6;511.6;0,16750297;0,019660985;28,815201;24,67046;1162,3252;20,3566
853.66;1;3,0790251;0.50968676;1667.6;541.6;0,15021941;0,017591889;23,659871;25,281572;1167,9978;20,3566
859.34;1;3,1978445;0.52356501;1661.6;519.6;0,14873883;0,01858604;27,969909;22,529513;1173,6741;20,35
865.01;1;3,1785989;0.52137067;1651.6;519.6;0,14323296;0,018738376;28,913665;21,574839;1179,3476;20,36
870.8;1;3,0727136;0.50892693;1639.6;533.6;0,14543449;0,021155966;34,123614;22,683173;1185,1301;20,36
876.46;1;3,2488756;0.52928723;1733.6;533.6;0,17378263;0,018329651;24,296415;27,545178;1190,7946;20,3633
882.17;1;3,1569371;0.51887653;1665.6;527.6;0,13922964;0,016087626;22,10025;22,190562;1196,5062;20,3633
887.85;1;3,3547881;0.5407354;1709.6;509.6;0,19314399;0,02486613;40,512506;26,7385;1202,1781;20,3666
893.61;1;3,3286052;0.5379574;1689.6;507.6;0,1630832;0,019198331;28,931862;23,301231;1207,9415;20,37
899.29;1;3,4557878;0.55114559;1719.6;497.6;0,18755895;0,023670426;38,854655;24,554987;1213,6231;20,37
904.96;1;3,2868792;0.53346014;1773.6;539.6;0,14773799;0,019253984;32,457259;22,152581;1219,295;20,37
910.65;1;3,2422874;0.52855623;1723.6;531.6;0,15959197;0,020363263;32,635144;24,153021;1224,9822;20,3733
916.43;1;2,9573216;0.49460766;1607.6;543.6;0,16670903;0,024217632;37,441885;27,905857;1230,7585;20,3733
922.12;1;3,4112076;0.54660941;1728.8;506.8;0,15521298;0,018439442;29,149343;21,418143;1236,4527;20,3866
930.73;1;3,284925;0.53324738;1664.8;506.8;0,18418258;0,023312926;36,186651;26,193611;1245,0557;20,38
936.4;1;3,1875;0.52238806;1672.8;524.8;0,17976655;0,026820655;45,338493;25,955427;1250,7321;20,38
942.1;1;3,2012336;0.52394935;1660.8;518.8;0,16430207;0,021451076;33,390828;24,499194;1256,4359;20,38
947.87;1;3,6210705;0.56719985;1704.8;470.8;0,19671113;0,022525463;35,481648;23,624252;1262,2027;20,3933
953.63;1;3,2454617;0.52890872;1644.8;506.8;0,16074661;0,020095635;30,296778;23,301231;1267,9635;20,3933
959.3;1;3,5296108;0.55846096;1668.8;472.8;0,20674784;0,020966363;28,931862;26,453534;1273,6341;20,3933
965;1;3,3904221;0.54446293;1670.8;492.8;0,19233119;0,023750781;37,080283;25,727315;1279,3308;20,3966
970.67;1;3,4841521;0.5539848;1758.8;504.8;0,17003371;0,02398223;42,37924;21,423057;1285,0053;20,39
976.35;1;3,34412;0.53960756;1694.8;506.8;0,1536031;0,017360266;25,443436;22;1290,6829;20,39
982.03;1;3,3506289;0.54029635;1704.8;508.8;0,1661758;0,024114021;41,498256;21,985641;1296,3651;20,4
987.74;1;2,7982155;0.47343694;1630.8;582.8;0,12565027;0,021696094;37,080283;22,56686;1302,0694;20,4
993.5;1;3,301092;0.53500181;1692.8;512.8;0,18744963;0,020333924;28,075087;27,849218;1307,8325;20,4033
999.19;1;3,1914734;0.52284083;1706.8;534.8;0,15169146;0,021783099;36,875323;22,641369;1313,5225;20,4033
1004.86;1;3,5526537;0.56069578;1686.8;474.8;0,17304042;0,022322331;36,646246;20,698335;1319,193;20,4066
1010.53;1;3,1406959;0.5169894;1660.8;528.8;0,1778714;0,024978474;40,356308;27,051608;1324,8684;20,4066
1016.21;1;3,2659906;0.53117572;1674.8;512.8;0,17079725;0,026058506;44,756652;23,05143;1330,5452;20,41
1021.89;1;3,6357268;0.56856819;1660.8;456.8;0,22977067;0,02861483;45,828054;25,971644;1336,2215;20,41
1027.57;1;3,2097523;0.52491267;1658.8;516.8;0,19279795;0,021614831;29,203461;29,678984;1341,9042;20,41
1033.26;1;3,0846037;0.51035641;1618.8;524.8;0,14202494;0,016874935;22,529513;23,033157;1347,5932;20,4133
1039.04;1;3,3642173;0.54172767;1684.8;500.8;0,17083972;0,022670832;37,049043;22,923213;1353,3715;20,4266
1044.7;1;3,2968869;0.53454674;1736.8;526.8;0,14910702;0,018131345;28,595178;22,190562;1359,0327;20,4266
1050.4;1;3,2532517;0.52977154;1700.8;522.8;0,17479876;0,021446461;33,010365;26,193611;1364,7365;20,4266
1056.17;1;3,3389021;0.53905391;1678.8;502.8;0,18962393;0,020925125;29,632841;27,140958;1370,5027;20,42
1061.83;1;3,3826571;0.54365584;1700.8;502.8;0,15245071;0,017016248;25,030508;21,418143;1376,1637;20,42
1067.52;1;3,5368249;0.55916306;1728.8;488.8;0,19608566;0,017535563;21,304805;26,421682;1381,8491;20,42
1073.2;1;3,2092173;0.52485228;1754.8;546.8;0,1618521;0,020155015;32,036164;25,706849;1387,5324;20,4333
1078.87;1;3,276205;0.53229558;1712.8;522.8;0,17247216;0,022807882;37,39969;25,043121;1393,1993;20,4366
1084.53;1;3,5330033;0.55879141;1712.8;484.8;0,17379659;0,018777761;28,149974;22,478059;1398,8567;20,4366
1090.17;1;3,5461409;0.56006643;1690.8;476.8;0,22051546;0,019401629;22,529513;28,960954;1404,5016;20,43
1095.86;1;3,0694645;0.50853485;1696.8;552.8;0,13197727;0,01779504;28,149974;21,928112;1410,1897;20,43
1101.6;1;3,2113885;0.52509724;1646.8;512.8;0,13892832;0,023442355;40,985235;18,14561;1415,9257;20,44
1107.26;1;3,1985294;0.52364273;1740;544;0,21103483;0,025835301;40,010525;33,642079;1421,5968;20,44
1115.97;1;3,4484127;0.55040143;1738;504;0,13212984;0,016135588;26,257831;17,746757;1430,2999;20,4433
1121.64;1;3,3735409;0.54270463;1734;514;0,20638136;0,020327489;26,161442;30,473457;1435,9731;20,4466
1127.33;1;3,2720307;0.53183857;1708;522;0,16636642;0,021039824;33,403435;24,499194;1441,6615;20,45
1133.01;1;3,1858736;0.52220249;1714;538;0,16224206;0,025642594;45,540034;23,373399;1447,3384;20,45
1138.68;1;3,0981818;0.5119787;1704;550;0,13904423;0,020903702;35,824132;21,807773;1453,0138;20,45
1144.36;1;3,312253;0.53620532;1676;506;0,18967546;0,023454748;36,256397;26,828893;1458,6906;20,45
1150.03;1;3,2023346;0.52407407;1646;514;0,14038213;0,020392228;33,526109;19,952575;1464,3653;20,4533
1155.71;1;3,6176471;0.56687898;1722;476;0,13786307;0,016856923;27,724206;16,441283;1470,044;20,4533
1161.38;1;3,155303;0.51868733;1666;528;0,14870313;0,02305758;39,414131;21,521103;1475,7093;20,4666
1167.04;1;3,0830325;0.51016799;1708;554;0,1192559;0,017148355;28,654016;19,30912;1481,3688;20,46
1172.73;1;3,2424242;0.52857143;1712;528;0,13389044;0,019898334;34,507055;19,029064;1487,0582;20,46
1178.49;1;3,2857143;0.53333333;1702;518;0,15875382;0,017412588;24,326723;23,907717;1492,8243;20,46
1184.17;1;2,9057971;0.48794063;1604;552;0,14770779;0,021872845;33,829293;25,530168;1498,5042;20,46
1189.85;1;3,3228346;0.53734062;1688;508;0,13951618;0,015697833;22,664603;20,20943;1504,1819;20,46
1195.61;1;3,2066421;0.5245614;1738;542;0,18621658;0,024397245;39,881403;28,913665;1509,9439;20,4733
1201.31;1;3,4789916;0.55347092;1656;476;0,17634451;0,022148755;35,015786;21,928112;1515,6419;20,4766
1206.98;1;3,4603175;0.55160142;1744;504;0,16423652;0,018752489;29,365214;22,365387;1521,3126;20,4766
1212.66;1;3,4015748;0.54561717;1728;508;0,16657492;0,023022586;39,470175;22,004784;1526,9909;20,47
1218.33;1;3,5303644;0.55853441;1744;494;0,1572446;0,018291129;29,365214;20,370257;1532,6651;20,48
1224.03;1;3,0036364;0.50045413;1652;550;0,16074021;0,021374544;31,907762;27,449475;1538,3595;20,48
1229.79;1;3,5435685;0.55981735;1708;482;0,18723331;0,022151194;35,243514;23,445345;1544,1261;20,4833
1235.47;1;3,037037;0.50458716;1640;540;0,15737665;0,020589989;30,380049;26,133262;1549,7994;20,4833
1241.13;1;3,1893939;0.52260398;1684;528;0,17610864;0,020018832;27,667195;27,834095;1555,4657;20,4866
1246.82;1;3,3576923;0.54104148;1746;520;0,14376594;0,018073514;29,661245;20,437324;1561,1481;20,49
1252.5;1;2,838488;0.4789615;1652;582;0,12299955;0,01949308;32,170598;22,529513;1566,8376;20,49
1258.17;1;3,4237288;0.54789272;1616;472;0,19871332;0,017999082;19,161365;26,817119;1572,5088;20,49
1263.85;1;3,2255639;0.52669039;1716;532;0,1588591;0,019134408;29,033556;24,606375;1578,1816;20,49
1269.62;1;3,2895753;0.53375338;1704;518;0,14318808;0,019486799;32,366324;20,287409;1583,9557;20,4933
1275.31;1;3,32;0.53703704;1660;500;0,15716913;0,022680302;37,847339;20,744054;1589,64;20,4933
1281.07;1;3,2097378;0.52491103;1714;534;0,14965877;0,023214766;40,964683;21,378789;1595,402;20,5066
1286.74;1;3,3333333;0.53846154;1680;504;0,18044414;0,018420804;23,682105;26,341882;1601,0673;20,5066
1292.39;1;3,4481328;0.55037313;1662;482;0,16994647;0,02330527;38,418745;20,981195;1606,7278;20,5
1301.01;1;3,0789474;0.50967742;1638;532;0,13321584;0,017719918;26,828893;21,304805;1615,3458;20,5
1306.68;1;3,4049587;0.54596623;1648;484;0,15920064;0,019841336;30,793027;20,744054;1621,0061;20,5
1312.35;1;3,0754717;0.50925926;1630;530;0,16238264;0,02135075;31,82518;26;1626,6794;20,5133
1318.05;1;3,1068702;0.51301115;1628;524;0,15537381;0,02223283;35,434149;23,593041;1632,3765;20,5133
1323.71;1;3,2773438;0.53242009;1678;512;0,17995744;0,026125454;44,05499;24,691784;1638,041;20,5166
1329.38;1;3,1538462;0.51851852;1640;520;0,18932478;0,02318919;33,390828;29,365214;1643,7141;20,51
1335.05;1;3,3823529;0.54362416;1610;476;0,17801345;0,020570565;29,490409;23,485718;1649,3905;20,51
1340.73;1;3,5413223;0.55959964;1714;484;0,15299591;0,015691651;22,56686;19,915611;1655,0584;20,52
1346.41;1;3,3729508;0.54264292;1646;488;0,20681716;0,025397593;38,811284;27,621502;1660,7385;20,5233
1352.1;1;3,1417625;0.51711378;1640;522;0,1089759;0,020645651;37,207809;13,695946;1666,4375;20,5233
1357.86;1;3,4065041;0.54612546;1676;492;0,11564742;0,016734657;28,358606;14,480477;1672,1948;20,5233
1363.55;1;3,7554585;0.57943067;1720;458;0,16422735;0,021441105;36,407055;17,525921;1677,8796;20,5266
1369.22;1;3,3928571;0.54471545;1710;504;0,17161616;0,02213175;36,276714;23,142579;1683,5547;20,53
1374.91;1;3,3398438;0.53915392;1710;512;0,14296169;0,021278468;37,080283;18,895836;1689,242;20,53
1380.68;1;3,1143911;0.51390135;1688;542;0,14155783;0,022037455;38,12445;21,378789;1695,0149;20,53
1386.34;1;3,2980392;0.53467153;1682;510;0,19012193;0,023476082;36,276714;27,264784;1700,6695;20,53
1392.01;1;3,374502;0.5428051;1694;502;0,17230807;0,017646994;23,481236;24,67046;1706,3432;20,5333
1397.72;1;3,408;0.54627949;1704;500;0,1283344;0,016331971;26,532998;17,143358;1712,0497;20,5466
1403.47;1;3,2851562;0.53327256;1682;512;0,1724924;0,021075076;32,219641;25,030508;1717,7991;20,5466
